rvec[0]	rvec[1]	rvec[2]	Yaw Raw	Pitch Raw	Roll Raw	Yaw Error	Pitch Error	Roll Error	Yaw Comp	Pitch Comp	Roll Comp	fpinfc[0]	fpinfc[1]	fpinfc[2]	fpinfc[3]	fpinfc[4]	fpinfc[5]	fpinfc[6]	fpinfc[7]	fpinfc[8]	fbinft[0]	fbinft[1]	fbinft[2]	fbinft[3]	fbinft[4]	fbinft[5]	fbinft[6]	fbinft[7]	fbinft[8]	Before Comp. X	Before Comp. Y	Before Comp Z.	Retro Normal X	Retro Normal Y	Retro Normal Z	Combo angle (degree)	Error Lateral	Error Longitudinal	ADM comp in fb X	ADM comp in fb Y	ADM comp in fb Z	Tracker Timestamp	Camera Timestamp	Trigger Counter	Operation Mode	AZ	EL	X	Y	Z	CX1	CY1	CX2	CY2	CX3	CY3	CX4	CY4	CX5	CY5	CX6	CY6	CX7	CY7	CX8	CY8	CX9	CY9	CX10	CY10	CX11	CY11	CX12	CY12	CX13	CY13	CX14	CY14	CX15	CY15	CX16	CY16	CX17	CY17	fpinft[0]	fpinft[1]	fpinft[2]	fpinft[3]	fpinft[4]	fpinft[5]	fpinft[6]	fpinft[7]	fpinft[8]	TipX	TipY	TipZ	
0.860413	1.60315	-0.600567	-85.8056	11.9407	37.7493	-0.20573	-0.145569	0.0272093	-85.5999	12.0863	37.7221	0.188415	0.974951	-0.118192	-0.778828	0.07502	-0.622735	-0.59827	0.209384	0.773454	0.998403	0.0564877	-0.000434309	-0.0564894	0.998374	-0.00767606	0	0.00768834	0.99997	243.851	4309.87	33.1899	0.003865	0.999964	-0.007514	85.6019	-47.0589	104.021	-46.0903	-104.021	-9.4987	863002511557	86288566124000	1875	TrackerOperationMode_Track	-3.238327	0.440514	191.962479	4208.690918	22.891701	1734.615723	721.197998	1492.239990	935.707458	1964.175659	949.991943	1730.396973	877.130371	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.144380	0.977541	-0.153516	-0.783612	0.018216	-0.620983	-0.604240	0.209955	0.768643	198.987320	4259.539062	-42.070435	
0.851369	1.573460	-0.611133	-85.693787	10.193204	37.472294	-0.205988	-0.154785	0.025265	-85.487793	10.347988	37.447029	0.171338	0.980686	-0.094332	-0.782863	0.077392	-0.617362	-0.598138	0.179626	0.781003	0.998403	0.056488	-0.000434	-0.056490	0.998374	-0.007679	0.000000	0.007691	0.999970	243.851578	4309.850586	33.200455	0.003865	0.999964	-0.007514	85.468786	-46.807855	103.514253	-46.110458	-103.514252	-8.049877	863005844704	86288899453000	1882	TrackerOperationMode_Track	-3.238350	0.440659	191.970917	4209.171387	24.354702	1734.638428	721.256836	1492.261475	935.806702	1964.174316	950.120300	1730.331299	877.132751	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127102	0.983414	-0.129394	-0.786676	0.020488	-0.617027	-0.604141	0.180216	0.776232	196.961990	4259.678223	-41.060230	
0.851402	1.572403	-0.610996	-85.661751	10.144091	37.470188	-0.205947	-0.154984	0.025205	-85.455811	10.299075	37.444981	0.171262	0.980795	-0.093328	-0.782830	0.077951	-0.617334	-0.598203	0.178786	0.781146	0.998403	0.056490	-0.000435	-0.056492	0.998374	-0.007680	0.000000	0.007693	0.999970	243.861694	4309.873535	33.207836	0.003865	0.999964	-0.007514	85.436629	-46.747321	103.392135	-46.057636	-103.392136	-8.000380	863009654244	86289280385000	1890	TrackerOperationMode_Track	-3.238464	0.440758	192.040451	4209.312988	24.412338	1734.762085	721.188293	1492.266235	935.769409	1964.197754	950.083252	1730.382812	877.144714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127027	0.983555	-0.128392	-0.786637	0.021045	-0.617057	-0.604207	0.179381	0.776374	196.947922	4259.819336	-41.009468	
0.851416	1.572384	-0.610903	-85.657402	10.144242	37.473228	-0.205950	-0.154976	0.025203	-85.451454	10.299218	37.448025	0.171328	0.980789	-0.093274	-0.782784	0.078026	-0.617383	-0.598244	0.178789	0.781113	0.998403	0.056489	-0.000435	-0.056491	0.998374	-0.007681	0.000000	0.007693	0.999970	243.855545	4309.850586	33.208931	0.003865	0.999964	-0.007514	85.432312	-46.739198	103.375748	-46.049606	-103.375748	-7.999156	863012987392	86289613701000	1897	TrackerOperationMode_Track	-3.238396	0.440773	192.043365	4209.305664	24.414757	1734.789429	721.292603	1492.320801	935.838867	1964.307495	950.186829	1730.324341	877.145386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127096	0.983552	-0.128340	-0.786594	0.021121	-0.617109	-0.604249	0.179384	0.776341	196.946594	4259.815430	-41.004387	
0.851473	1.572364	-0.610895	-85.655243	10.144821	37.471542	-0.205936	-0.154967	0.025205	-85.449310	10.299788	37.446339	0.171361	0.980784	-0.093264	-0.782795	0.078063	-0.617364	-0.598220	0.178799	0.781130	0.998403	0.056488	-0.000435	-0.056490	0.998374	-0.007681	0.000000	0.007693	0.999970	243.851730	4309.865723	33.211098	0.003865	0.999964	-0.007514	85.430221	-46.735263	103.367812	-46.045647	-103.367813	-7.998963	863016796732	86289994662000	1905	TrackerOperationMode_Track	-3.238335	0.440796	192.044067	4209.328613	24.417135	1734.742432	721.235779	1492.310913	935.774048	1964.264404	950.130493	1730.389771	877.162476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127129	0.983550	-0.128328	-0.786607	0.021158	-0.617091	-0.604225	0.179394	0.776357	196.946335	4259.836914	-41.003380	
0.851465	1.572393	-0.610880	-85.655586	10.146150	37.472519	-0.205940	-0.154961	0.025206	-85.449646	10.301111	37.447311	0.171371	0.980780	-0.093283	-0.782784	0.078056	-0.617378	-0.598231	0.178821	0.781116	0.998403	0.056496	-0.000434	-0.056497	0.998373	-0.007672	0.000000	0.007684	0.999970	243.884766	4309.856445	33.170578	0.003865	0.999964	-0.007514	85.430567	-46.735915	103.369127	-46.046104	-103.369125	-8.000138	863020129879	86290327971000	1912	TrackerOperationMode_Track	-3.238777	0.440254	192.075775	4209.318359	24.376408	1734.714111	721.291565	1492.285522	935.753784	1964.245972	950.073975	1730.395142	877.129272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127134	0.983546	-0.128352	-0.786604	0.021146	-0.617096	-0.604228	0.179416	0.776349	196.980026	4259.827148	-41.043613	
0.851444	1.572322	-0.610959	-85.657356	10.141540	37.469769	-0.205936	-0.154989	0.025203	-85.451416	10.296528	37.444565	0.171295	0.980797	-0.093248	-0.782823	0.078027	-0.617333	-0.598202	0.178743	0.781156	0.998403	0.056487	-0.000434	-0.056489	0.998374	-0.007676	0.000000	0.007688	0.999970	243.847702	4309.858887	33.189236	0.003865	0.999964	-0.007514	85.432271	-46.739120	103.375592	-46.049904	-103.375595	-7.996970	863023939219	86290708900000	1920	TrackerOperationMode_Track	-3.238289	0.440514	192.035416	4209.313965	24.397717	1734.713501	721.262878	1492.324829	935.775635	1964.308716	950.132324	1730.448486	877.099915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127062	0.983561	-0.128309	-0.786634	0.021124	-0.617058	-0.604203	0.179337	0.776387	196.936035	4259.819824	-41.024929	
0.851390	1.572318	-0.610882	-85.655556	10.140564	37.474483	-0.205955	-0.154993	0.025197	-85.449600	10.295557	37.449284	0.171318	0.980798	-0.093201	-0.782768	0.078059	-0.617399	-0.598269	0.178726	0.781109	0.998403	0.056485	-0.000435	-0.056486	0.998374	-0.007682	0.000000	0.007695	0.999970	243.836044	4309.851074	33.216965	0.003865	0.999964	-0.007514	85.430428	-46.735653	103.368598	-46.046623	-103.368599	-7.995620	863027272567	86291042232000	1927	TrackerOperationMode_Track	-3.238144	0.440880	192.027695	4209.312988	24.426189	1734.748291	721.403992	1492.320190	935.725891	1964.253784	950.134521	1730.399292	877.108215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127090	0.983563	-0.128265	-0.786575	0.021157	-0.617131	-0.604274	0.179321	0.776335	196.924652	4259.824707	-40.992146	
0.851476	1.572403	-0.610917	-85.656975	10.146614	37.470825	-0.205935	-0.154961	0.025208	-85.451035	10.301575	37.445618	0.171355	0.980781	-0.093309	-0.782806	0.078033	-0.617353	-0.598207	0.178829	0.781133	0.998404	0.056482	-0.000434	-0.056483	0.998374	-0.007680	0.000000	0.007692	0.999970	243.825043	4309.859863	33.205681	0.003865	0.999964	-0.007514	85.431953	-46.738522	103.374386	-46.048607	-103.374390	-8.000941	863031081907	86291423158000	1935	TrackerOperationMode_Track	-3.237984	0.440727	192.014664	4209.315918	24.409813	1734.708984	721.224060	1492.302979	935.797058	1964.346924	950.146057	1730.377930	877.138367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127127	0.983545	-0.128369	-0.786618	0.021134	-0.617078	-0.604211	0.179424	0.776361	196.920303	4259.823242	-41.011200	
0.851460	1.572373	-0.610922	-85.656822	10.144707	37.470943	-0.205937	-0.154971	0.025205	-85.450882	10.299678	37.445736	0.171337	0.980787	-0.093281	-0.782806	0.078036	-0.617353	-0.598212	0.178797	0.781136	0.998404	0.056479	-0.000434	-0.056481	0.998374	-0.007680	0.000000	0.007692	0.999970	243.814789	4309.859375	33.206364	0.003865	0.999964	-0.007514	85.431779	-46.738195	103.373726	-46.048550	-103.373726	-7.999357	863034415054	86291756472000	1942	TrackerOperationMode_Track	-3.237846	0.440735	192.004745	4209.315918	24.412071	1734.848755	721.229675	1492.387695	935.674133	1964.273682	950.059570	1730.409790	877.070801	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127111	0.983551	-0.128339	-0.786617	0.021140	-0.617080	-0.604216	0.179392	0.776364	196.907928	4259.823242	-41.009033	
