rvec[0]	rvec[1]	rvec[2]	Yaw Raw	Pitch Raw	Roll Raw	Yaw Error	Pitch Error	Roll Error	Yaw Comp	Pitch Comp	Roll Comp	fpinfc[0]	fpinfc[1]	fpinfc[2]	fpinfc[3]	fpinfc[4]	fpinfc[5]	fpinfc[6]	fpinfc[7]	fpinfc[8]	fbinft[0]	fbinft[1]	fbinft[2]	fbinft[3]	fbinft[4]	fbinft[5]	fbinft[6]	fbinft[7]	fbinft[8]	Before Comp. X	Before Comp. Y	Before Comp Z.	Retro Normal X	Retro Normal Y	Retro Normal Z	Combo angle (degree)	Error Lateral	Error Longitudinal	ADM comp in fb X	ADM comp in fb Y	ADM comp in fb Z	Tracker Timestamp	Camera Timestamp	Trigger Counter	Operation Mode	AZ	EL	X	Y	Z	CX1	CY1	CX2	CY2	CX3	CY3	CX4	CY4	CX5	CY5	CX6	CY6	CX7	CY7	CX8	CY8	CX9	CY9	CX10	CY10	CX11	CY11	CX12	CY12	CX13	CY13	CX14	CY14	CX15	CY15	CX16	CY16	CX17	CY17	fpinft[0]	fpinft[1]	fpinft[2]	fpinft[3]	fpinft[4]	fpinft[5]	fpinft[6]	fpinft[7]	fpinft[8]	TipX	TipY	TipZ
-1.87086	-3.86467	1.54976	-85.6582	0.849718	42.6791	-0.308231	-0.150501	0.0136951	-85.3499	1.00022	42.6654	0.071404	0.996557	0.0421485	-0.731945	0.0810574	-0.676526	-0.677613	0.0174562	0.735212	0.998438	0.0558634	-0.000468207	-0.0558653	0.998403	-0.00836791	0	0.008381	0.999965	241.21	4310.95	36.188	0.003865	0.999964	-0.007514	85.2212	-46.3431	102.577	-46.3411	-102.577	-0.433064	8.70338E+11	8.70221E+13	3203	TrackerOperationMode_Track	-3.202515	0.480202	189.210876	4211.132324	34.895302	2153.669678	754.218384	1831.514893	858.279541	2056.560547	1276.869995	1944.380981	1070.247314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030721	0.99952	0.003945	-0.729095	0.025109	-0.683952	-0.683723	0.018135	0.729516	183.055038	4267.163574	-25.747623
-1.853947	-3.531171	2.941972	-87.198463	-30.568607	37.400497	-0.166488	-0.003074	0.058673	-87.031982	-30.565535	37.341824	-0.266875	0.859893	0.435157	-0.809936	0.044584	-0.584822	-0.522285	-0.508524	0.68456	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008368	0	0.008381	0.999965	241.210983	4310.937012	36.187916	0.003865	0.999964	-0.007514	87.372284	-50.484376	110.932899	-43.237934	-110.932899	26.060568	8.70342E+11	8.70225E+13	3210	TrackerOperationMode_Track	-3.202545	0.480202	191.831223	4202.378906	61.317841	2153.606445	754.200867	1831.518311	858.245544	2056.563721	1276.828003	1944.337158	1070.288574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.31146	0.861279	0.401486	-0.789363	0.000729	-0.613926	-0.529055	-0.508132	0.679634	153.507477	4252.744141	7.936157
-1.727908	-3.151072	3.577331	-87.326317	-42.366577	35.19685	-0.116474	0.088426	0.041114	-87.209846	-42.455006	35.155735	-0.348412	0.736933	0.579257	-0.835541	0.035915	-0.548254	-0.42483	-0.675011	0.603224	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008368	0	0.008381	0.999965	241.210846	4310.944824	36.189598	0.003865	0.999964	-0.007514	87.890806	-51.517989	113.019204	-37.695885	-113.019203	35.11586	8.70345E+11	8.70229E+13	3218	TrackerOperationMode_Track	-3.202538	0.480225	197.243713	4199.917969	70.356964	2153.688477	754.176453	1831.521606	858.274292	2056.595215	1276.920654	1944.344238	1070.300537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.394346	0.738105	0.547442	-0.811187	0.000337	-0.584787	-0.431818	-0.674686	0.598608	147.550995	4247.869629	24.681667
-1.63674	-2.923426	3.862891	-87.331856	-47.585545	34.181774	-0.098295	0.131633	0.034449	-87.233566	-47.717178	34.147327	-0.374857	0.672007	0.638662	-0.846676	0.032472	-0.531117	-0.377653	-0.739833	0.5568	0.998438	0.055863	-0.000468	-0.055865	0.998403	-0.008369	0	0.008382	0.999965	241.209686	4310.952637	36.192104	0.003865	0.999964	-0.007514	88.098046	-51.934987	113.860972	-34.593994	-113.86097	38.736263	8.70349E+11	8.70232E+13	3225	TrackerOperationMode_Track	-3.202515	0.480255	200.290924	4198.881836	73.972633	2153.66626	754.212402	1831.543213	858.256958	2056.575928	1276.92395	1944.401733	1070.291016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.421393	0.673118	0.607734	-0.821222	0.00107	-0.570608	-0.384736	-0.739535	0.552328	145.987411	4245.653809	32.518375
-1.582136	-2.808334	3.992027	-87.419273	-49.97208	33.789383	-0.090518	0.151867	0.031577	-87.328758	-50.123947	33.757809	-0.387239	0.640432	0.663244	-0.850365	0.02988	-0.525344	-0.356265	-0.767433	0.533031	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.00837	0	0.008383	0.999965	241.210846	4310.952637	36.194469	0.003865	0.999964	-0.007514	88.249939	-52.242034	114.480817	-33.133202	-114.48082	40.390858	8.70353E+11	8.70236E+13	3233	TrackerOperationMode_Track	-3.20253	0.480293	201.715149	4198.16748	75.62426	2153.701172	754.208801	1831.479492	858.22876	2056.545654	1276.914429	1944.348877	1070.307495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.433972	0.641461	0.632611	-0.824392	0.000477	-0.566019	-0.36338	-0.767156	0.528608	145.536896	4244.562988	36.299446
-1.568772	-2.749855	4.047909	-87.193054	-51.03051	33.398067	-0.088138	0.161151	0.030518	-87.104919	-51.191662	33.36755	-0.385863	0.625917	0.677744	-0.855741	0.031654	-0.516436	-0.344699	-0.779247	0.523409	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008368	0	0.008381	0.999965	241.212051	4310.966309	36.18697	0.003865	0.999964	-0.007514	88.153285	-52.046513	114.086109	-32.249733	-114.086113	40.85088	8.70356E+11	8.70239E+13	3240	TrackerOperationMode_Track	-3.202538	0.480186	202.62027	4198.521973	76.080292	2153.668213	754.217468	1831.512573	858.212585	2056.518799	1276.935547	1944.373291	1070.292847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.432904	0.627073	0.64759	-0.829933	0.003156	-0.557854	-0.351859	-0.778954	0.519062	145.289429	4244.225098	37.617664
-1.566474	-2.723422	4.07103	-87.01799	-51.474735	33.168198	-0.087494	0.16512	0.030142	-86.930496	-51.639858	33.138058	-0.383195	0.619712	0.684922	-0.859107	0.033232	-0.510715	-0.339257	-0.784125	0.519665	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008368	0	0.008381	0.999965	241.210724	4310.952637	36.186031	0.003865	0.999964	-0.007514	88.066044	-51.870449	113.73069	-31.817947	-113.73069	40.965374	8.70359E+11	8.70242E+13	3247	TrackerOperationMode_Track	-3.20253	0.480179	203.069885	4198.838379	76.196838	2153.611816	754.140808	1831.465942	858.193542	2056.537109	1276.864868	1944.345337	1070.271973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.430431	0.620968	0.655079	-0.833489	0.005119	-0.552512	-0.346445	-0.783819	0.515367	145.157349	4244.087402	38.070145
-1.565808	-2.711128	4.081571	-86.92659	-51.67905	33.056377	-0.08724	0.166943	0.029975	-86.839348	-51.845997	33.026402	-0.381704	0.616838	0.688341	-0.860774	0.034062	-0.507846	-0.336704	-0.786353	0.517957	0.998438	0.055863	-0.000468	-0.055865	0.998403	-0.008367	0	0.00838	0.999965	241.209579	4310.952637	36.184185	0.003865	0.999964	-0.007514	88.020064	-51.777815	113.543694	-31.612047	-113.543694	41.007572	8.70363E+11	8.70246E+13	3255	TrackerOperationMode_Track	-3.202515	0.480156	203.28476	4199.013184	76.2388	2153.755859	754.167236	1831.520752	858.21936	2056.467285	1276.862549	1944.3125	1070.260742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.429036	0.618145	0.658654	-0.835259	0.006127	-0.549823	-0.343906	-0.78604	0.513683	145.09404	4244.033203	38.265251
-1.565829	-2.704985	4.086629	-86.874947	-51.777096	32.994694	-0.08716	0.16783	0.029904	-86.787788	-51.944927	32.964787	-0.380767	0.61545	0.6901	-0.861695	0.034541	-0.50625	-0.335408	-0.787419	0.517178	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008367	0	0.00838	0.999965	241.211426	4310.944824	36.185677	0.003865	0.999964	-0.007514	87.993498	-51.724343	113.435753	-31.507603	-113.435753	41.020466	8.70366E+11	8.7025E+13	3262	TrackerOperationMode_Track	-3.202545	0.480171	203.396866	4199.106934	76.254059	2153.641602	754.213013	1831.468384	858.314331	2056.497559	1276.911621	1944.258301	1070.261353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.428153	0.616787	0.660499	-0.836241	0.006691	-0.548322	-0.342617	-0.787102	0.512918	145.062073	4243.999512	38.350433
-1.564841	-2.700981	4.090387	-86.857643	-51.849911	32.969765	-0.087006	0.16846	0.029832	-86.770645	-52.018372	32.939934	-0.380638	0.614432	0.691078	-0.862053	0.034668	-0.505632	-0.334634	-0.788208	0.516476	0.998438	0.055864	-0.000468	-0.055866	0.998403	-0.008367	0	0.00838	0.999965	241.210846	4310.944824	36.184353	0.003865	0.999964	-0.007514	87.986548	-51.71036	113.407525	-31.446159	-113.407524	41.049973	8.7037E+11	8.70253E+13	3270	TrackerOperationMode_Track	-3.202538	0.480156	203.459198	4199.131836	76.282501	2153.67334	754.336609	1831.506714	858.304688	2056.510986	1276.90332	1944.316406	1070.324341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.428044	0.615778	0.66151	-0.836611	0.006882	-0.547753	-0.341847	-0.78789	0.512221	145.046829	4243.976074	38.441349
