Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-0.503998	14.584892	27.195498	3091.590332	804.459656	1702.100342	411.738434	1585.939697	641.867065	1817.985474	986.347351	1604.494385	1018.337158	-17.310665	-0.886587	-27.9846	0.87662	0.480968	-0.014353	-0.47987	0.876042	0.047713	0.035522	-0.034938	0.998758
TrackerOperationMode_Track	-0.504387	14.58477	27.216274	3091.563477	804.445496	1701.715576	411.652191	1585.444092	641.799133	1817.586304	986.320557	1603.948364	1018.239136	-17.307259	-0.878027	-28.003595	0.876481	0.481226	-0.014211	-0.480134	0.8759	0.047654	0.03538	-0.034944	0.998763
TrackerOperationMode_Track	-0.504265	14.584885	27.209587	3091.556152	804.450195	1701.746948	411.782257	1585.485474	641.778503	1817.610107	986.315002	1604.125854	1018.273254	-17.337265	-0.884913	-28.008379	0.87642	0.481335	-0.014319	-0.48022	0.875824	0.048176	0.03573	-0.035346	0.998736
TrackerOperationMode_Track	-0.503967	14.585129	27.19412	3091.586914	804.472473	1701.770996	411.645996	1585.618652	641.819824	1817.700562	986.270508	1604.207031	1018.169678	-17.299927	-0.890823	-27.990244	0.876563	0.481071	-0.014426	-0.479976	0.875994	0.047522	0.035499	-0.034732	0.998766
TrackerOperationMode_Track	-0.504204	14.584991	27.206415	3091.573486	804.460938	1701.751465	411.579895	1585.558105	641.786804	1817.699829	986.29657	1604.181885	1018.233521	-17.303431	-0.891295	-27.994974	0.87652	0.481149	-0.014433	-0.480052	0.875948	0.047586	0.035539	-0.034781	0.998763
TrackerOperationMode_Track	-0.50399	14.58503	27.194996	3091.546631	804.45636	1701.703125	411.67984	1585.537598	641.690918	1817.563721	986.258484	1604.1073	1018.262329	-17.336229	-0.885911	-27.981667	0.876644	0.480926	-0.014336	-0.479812	0.876049	0.048156	0.035718	-0.035337	0.998737
TrackerOperationMode_Track	-0.50396	14.58503	27.193043	3091.546631	804.456543	1701.785278	411.58847	1585.587402	641.825684	1817.605835	986.350525	1604.173096	1018.295898	-17.295134	-0.882946	-27.986664	0.876615	0.48098	-0.014296	-0.479893	0.876044	0.047439	0.035341	-0.034725	0.998772
TrackerOperationMode_Track	-0.504379	14.585037	27.215807	3091.559814	804.460083	1701.72168	411.699677	1585.544678	641.817932	1817.651489	986.211548	1604.096802	1018.266113	-17.309235	-0.887927	-27.993641	0.876538	0.481118	-0.014376	-0.480019	0.875961	0.047686	0.035535	-0.034898	0.998759
TrackerOperationMode_Track	-0.504265	14.585106	27.209507	3091.54541	804.46051	1701.760376	411.640198	1585.577881	641.811462	1817.609985	986.266663	1604.186035	1018.265259	-17.303171	-0.886352	-27.990202	0.876573	0.481055	-0.014351	-0.479961	0.875999	0.047578	0.035459	-0.034818	0.998764
																									
	-0.504157222	14.58498556	27.20391633	3091.563205	804.4580282	1701.783976	411.6674398	1585.588175	641.7997028	1817.668145	986.2930231	1604.168972	1018.260261												
