Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	3.682701	12.563049	-192.486511	2990.596191	667.831909																				
TrackerOperationMode_Track	3.682732	12.563034	-192.486359	2990.568848	667.82489																				
TrackerOperationMode_Track	3.682571	12.563004	-192.479248	2990.585938	667.826904																				
TrackerOperationMode_Track	3.682587	12.562981	-192.480423	2990.592773	667.827393																				
TrackerOperationMode_Track	3.682671	12.562943	-192.483231	2990.570068	667.819824																				
TrackerOperationMode_Track	3.682632	12.562988	-192.483109	2990.600098	667.829224																				
TrackerOperationMode_Track	3.682541	12.563034	-192.478149	2990.595947	667.830811																				
TrackerOperationMode_Track	3.682671	12.56308	-192.483917	2990.580811	667.829773																				
TrackerOperationMode_Track	3.682671	12.563141	-192.484055	2990.583008	667.83374																				
TrackerOperationMode_Track	3.682701	12.563095	-192.486176	2990.591064	667.832886																				
TrackerOperationMode_Track	3.682732	12.563232	-192.487534	2990.587402	667.840088																				
TrackerOperationMode_Track	3.68251	12.563248	-192.475174	2990.57373	667.837585																				
TrackerOperationMode_Track	3.682732	12.563019	-192.486984	2990.57959	667.826111																				
TrackerOperationMode_Track	3.682503	12.563118	-192.47345	2990.555176	667.826416																				
TrackerOperationMode_Track	3.682671	12.563042	-192.48494	2990.59668	667.831421																				
TrackerOperationMode_Track	3.682732	12.563011	-192.488266	2990.598389	667.830139																				
TrackerOperationMode_Track	3.682732	12.56295	-192.486252	2990.567139	667.81958																				
TrackerOperationMode_Track	3.682709	12.563011	-192.485458	2990.570068	667.823792																				
TrackerOperationMode_Track	3.682549	12.562943	-192.477493	2990.581787	667.822693																				
TrackerOperationMode_Track	3.682732	12.562874	-192.486404	2990.56958	667.816345																				
TrackerOperationMode_Track	3.682732	12.562874	-192.487213	2990.582031	667.819031																				
TrackerOperationMode_Track	3.682732	12.562912	-192.488602	2990.603516	667.825928																				
TrackerOperationMode_Track	3.682365	12.562859	-192.468079	2990.581543	667.817749																				
TrackerOperationMode_Track	3.682259	12.563042	-192.463043	2990.591064	667.830078																				
TrackerOperationMode_Track	3.68264	12.563072	-192.481415	2990.566895	667.826477																				
TrackerOperationMode_Track	3.682701	12.563126	-192.486404	2990.594482	667.835632																				
TrackerOperationMode_Track	3.682701	12.563126	-192.485596	2990.582031	667.832703																				
TrackerOperationMode_Track	3.682732	12.563103	-192.487106	2990.580566	667.830933																				
TrackerOperationMode_Track	3.682732	12.563065	-192.48645	2990.570312	667.826843																				
TrackerOperationMode_Track	3.682762	12.563126	-192.487808	2990.56665	667.829407																				
TrackerOperationMode_Track	3.682732	12.563057	-192.486343	2990.568604	667.82605																				
TrackerOperationMode_Track	3.682693	12.563026	-192.485291	2990.578613	667.826294																				
TrackerOperationMode_Track	3.682693	12.562958	-192.486313	2990.597412	667.826965																				
TrackerOperationMode_Track	3.682724	12.562927	-192.48613	2990.570068	667.819336																				
TrackerOperationMode_Track	3.682693	12.563019	-192.484558	2990.567139	667.823364																				
TrackerOperationMode_Track	3.682716	12.562965	-192.485321	2990.565918	667.820068																				
TrackerOperationMode_Track	3.682732	12.563026	-192.486252	2990.567139	667.823975																				
TrackerOperationMode_Track	3.682732	12.563095	-192.486923	2990.577637	667.830078																				
TrackerOperationMode_Track	3.682732	12.563004	-192.487656	2990.589111	667.827576																				
TrackerOperationMode_Track	3.682732	12.562988	-192.486267	2990.567383	667.822083																				
TrackerOperationMode_Track	3.682762	12.562988	-192.488403	2990.575928	667.823975																				
TrackerOperationMode_Track	3.682762	12.562927	-192.488968	2990.584473	667.822693																				
TrackerOperationMode_Track	3.682732	12.562927	-192.486893	2990.57959	667.821594																				
TrackerOperationMode_Track	3.68264	12.563004	-192.482727	2990.587646	667.827332																				
TrackerOperationMode_Track	3.682693	12.563095	-192.484238	2990.566162	667.827576																				
TrackerOperationMode_Track	3.682732	12.563103	-192.487961	2990.593506	667.834045																				
TrackerOperationMode_Track	3.682693	12.563034	-192.48526	2990.585205	667.828125																				
TrackerOperationMode_Track	3.682732	12.563049	-192.485062	2990.548584	667.821411																				
TrackerOperationMode_Track	3.682678	12.563034	-192.484909	2990.592773	667.830261																				
TrackerOperationMode_Track	3.682693	12.563004	-192.485291	2990.58252	667.826294																				
TrackerOperationMode_Track	3.682732	12.562927	-192.487366	2990.584473	667.82251																				
TrackerOperationMode_Track	3.682732	12.562782	-192.486816	2990.575684	667.812622																				
TrackerOperationMode_Track	3.682648	12.563156	-192.482574	2990.579102	667.83374																				
TrackerOperationMode_Track	3.682732	12.562988	-192.487061	2990.579834	667.824768																				
TrackerOperationMode_Track	3.682732	12.562889	-192.486664	2990.573486	667.817627																				
