Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	37.341667	-7.895912	-1504.553101	1972.032227	-344.009521																				
TrackerOperationMode_Track	37.341621	-7.895844	-1504.552368	1972.033325	-344.006317																				
TrackerOperationMode_Track	37.341599	-7.895798	-1504.542969	1972.02356	-344.00235																				
TrackerOperationMode_Track	37.341621	-7.895889	-1504.551758	1972.033203	-344.008484																				
TrackerOperationMode_Track	37.341637	-7.895912	-1504.55249	1972.032593	-344.009277																				
TrackerOperationMode_Track	37.341667	-7.895897	-1504.553345	1972.031982	-344.00885																				
TrackerOperationMode_Track	37.341675	-7.89592	-1504.537964	1972.01062	-344.006012																				
TrackerOperationMode_Track	37.34169	-7.895912	-1504.562744	1972.041992	-344.011353																				
TrackerOperationMode_Track	37.34169	-7.895897	-1504.546265	1972.020508	-344.007019																				
TrackerOperationMode_Track	37.34169	-7.895927	-1504.538452	1972.010132	-344.006409																				
TrackerOperationMode_Track	37.341721	-7.895927	-1504.546753	1972.019775	-344.007965																				
TrackerOperationMode_Track	37.341721	-7.895927	-1504.55481	1972.030518	-344.01001																				
TrackerOperationMode_Track	37.341721	-7.895912	-1504.555054	1972.03064	-344.009521																				
TrackerOperationMode_Track	37.341705	-7.895912	-1504.546753	1972.020142	-344.007446																				
TrackerOperationMode_Track	37.34169	-7.895912	-1504.562744	1972.041992	-344.011261																				
TrackerOperationMode_Track	37.341705	-7.895912	-1504.554565	1972.031006	-344.009491																				
TrackerOperationMode_Track	37.34169	-7.895927	-1504.538208	1972.010376	-344.006287																				
TrackerOperationMode_Track	37.341675	-7.895905	-1504.553955	1972.031494	-344.009155																				
TrackerOperationMode_Track	37.341675	-7.895836	-1504.546021	1972.021118	-344.004211																				
TrackerOperationMode_Track	37.341675	-7.895912	-1504.545776	1972.020874	-344.007385																				
