Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-13.570251	-9.5672	679.748047	2816.138184	-488.287598																				
TrackerOperationMode_Track	-13.569534	-9.567123	679.709595	2816.133301	-488.281342																				
TrackerOperationMode_Track	-13.569702	-9.567093	679.727844	2816.172852	-488.286865																				
TrackerOperationMode_Track	-13.57058	-9.567223	679.767944	2816.150146	-488.291382																				
TrackerOperationMode_Track	-13.571747	-9.567482	679.822266	2816.123047	-488.30246																				
TrackerOperationMode_Track	-13.571915	-9.567406	679.83429	2816.138672	-488.301636																				
TrackerOperationMode_Track	-13.57032	-9.567139	679.769409	2816.211914	-488.297211																				
TrackerOperationMode_Track	-13.568336	-9.566963	679.678589	2816.262939	-488.292999																				
TrackerOperationMode_Track	-13.568733	-9.566597	679.699524	2816.264404	-488.274933																				
TrackerOperationMode_Track	-13.569565	-9.566574	679.727356	2816.199463	-488.263947																				
TrackerOperationMode_Track	-13.568459	-9.566589	679.680542	2816.245117	-488.270905																				
TrackerOperationMode_Track	-13.564125	-9.566307	679.492371	2816.398926	-488.273865																				
TrackerOperationMode_Track	-13.564064	-9.566307	679.495728	2816.426025	-488.278229																				
TrackerOperationMode_Track	-13.565826	-9.566589	679.567261	2816.34375	-488.282593																				
TrackerOperationMode_Track	-13.567612	-9.566971	679.645325	2816.282715	-488.29538																				
TrackerOperationMode_Track	-13.569221	-9.56694	679.715393	2816.225586	-488.286987																				
TrackerOperationMode_Track	-13.567337	-9.566833	679.63324	2816.291992	-488.288849																				
TrackerOperationMode_Track	-13.56572	-9.566795	679.567932	2816.370361	-488.297302																				
TrackerOperationMode_Track	-13.565285	-9.566704	679.53949	2816.344482	-488.287628																				
TrackerOperationMode_Track	-13.567368	-9.566727	679.62439	2816.247559	-488.275848																				
TrackerOperationMode_Track	-13.567543	-9.566719	679.637756	2816.265137	-488.279083																				
TrackerOperationMode_Track	-13.56678	-9.56662	679.59668	2816.259277	-488.271027																				
TrackerOperationMode_Track	-13.567177	-9.566742	679.615601	2816.251465	-488.27713																				
TrackerOperationMode_Track	-13.56723	-9.566765	679.617981	2816.250732	-488.278046																				
TrackerOperationMode_Track	-13.567673	-9.566711	679.643188	2816.258789	-488.277924																				
