Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-7.254768	5.073135	395.888031	3109.869629	278.30658																				
TrackerOperationMode_Track	-7.254761	5.073128	395.887878	3109.869629	278.306396																				
TrackerOperationMode_Track	-7.254768	5.073143	395.891571	3109.897461	278.30954																				
TrackerOperationMode_Track	-7.254768	5.073135	395.889893	3109.883301	278.307831																				
TrackerOperationMode_Track	-7.254753	5.073135	395.891022	3109.896973	278.309204																				
TrackerOperationMode_Track	-7.254761	5.073135	395.886169	3109.855957	278.305664																				
TrackerOperationMode_Track	-7.254753	5.073128	395.889282	3109.883301	278.307495																				
TrackerOperationMode_Track	-7.254753	5.07312	395.887573	3109.869873	278.305908																				
TrackerOperationMode_Track	-7.254761	5.07312	395.887756	3109.869629	278.306091																				
TrackerOperationMode_Track	-7.254753	5.073128	395.889282	3109.883301	278.307526																				
TrackerOperationMode_Track	-7.254768	5.073112	395.889893	3109.883301	278.306793																				
TrackerOperationMode_Track	-7.254768	5.073097	395.886322	3109.856201	278.303497																				
TrackerOperationMode_Track	-7.254768	5.07309	395.886627	3109.856201	278.303223																				
TrackerOperationMode_Track	-7.254768	5.073082	395.886475	3109.856201	278.302521																				
TrackerOperationMode_Track	-7.254768	5.073082	395.888336	3109.869873	278.303741																				
TrackerOperationMode_Track	-7.254753	5.073074	395.889313	3109.883545	278.304413																				
TrackerOperationMode_Track	-7.254768	5.073074	395.889313	3109.877686	278.304077																				
TrackerOperationMode_Track	-7.254761	5.07309	395.887177	3109.86499	278.303497																				
TrackerOperationMode_Track	-7.254761	5.07309	395.890625	3109.891113	278.30603																				
TrackerOperationMode_Track	-7.254753	5.073074	395.887604	3109.870117	278.303528																				
TrackerOperationMode_Track	-7.254753	5.073074	395.889313	3109.883545	278.304413																				
TrackerOperationMode_Track	-7.254753	5.07309	395.885864	3109.856445	278.302765																				
TrackerOperationMode_Track	-7.254753	5.073082	395.887604	3109.870117	278.30365																				
TrackerOperationMode_Track	-7.254753	5.073082	395.885986	3109.857422	278.302612																				
TrackerOperationMode_Track	-7.254753	5.073074	395.887604	3109.870117	278.303528																				
TrackerOperationMode_Track	-7.254753	5.073082	395.887604	3109.870117	278.30365																				
TrackerOperationMode_Track	-7.254753	5.073082	395.887604	3109.870117	278.30365																				
TrackerOperationMode_Track	-7.254753	5.073082	395.885986	3109.857422	278.30246																				
TrackerOperationMode_Track	-7.254753	5.073074	395.886841	3109.864258	278.302826																				
TrackerOperationMode_Track	-7.254753	5.073082	395.886841	3109.864258	278.303284																				
TrackerOperationMode_Track	-7.254768	5.073074	395.888184	3109.87085	278.303497																				
TrackerOperationMode_Track	-7.254753	5.073074	395.887604	3109.870117	278.303528																				
TrackerOperationMode_Track	-7.254753	5.073074	395.887604	3109.870117	278.303223																				
TrackerOperationMode_Track	-7.254753	5.07309	395.887604	3109.870117	278.304108																				
TrackerOperationMode_Track	-7.254761	5.073082	395.887909	3109.869873	278.303864																				
TrackerOperationMode_Track	-7.254753	5.073082	395.889191	3109.882568	278.30484																				
TrackerOperationMode_Track	-7.254761	5.07309	395.889496	3109.883545	278.305573																				
TrackerOperationMode_Track	-7.254761	5.07309	395.8862	3109.856201	278.303131																				
TrackerOperationMode_Track	-7.254768	5.07309	395.888062	3109.869873	278.30426																				
TrackerOperationMode_Track	-7.254753	5.073082	395.887604	3109.870117	278.303741																				
TrackerOperationMode_Track	-7.254753	5.07309	395.889313	3109.883545	278.305511																				
TrackerOperationMode_Track	-7.254768	5.07309	395.889923	3109.883545	278.305298																				
TrackerOperationMode_Track	-7.254761	5.073097	395.889465	3109.883301	278.305969																				
TrackerOperationMode_Track	-7.254753	5.073105	395.885254	3109.851562	278.303619																				
TrackerOperationMode_Track	-7.254753	5.07312	395.889282	3109.883301	278.307129																				
TrackerOperationMode_Track	-7.254761	5.07312	395.893066	3109.9104	278.309448																				
TrackerOperationMode_Track	-7.25473	5.07312	395.8862	3109.870117	278.305878																				
TrackerOperationMode_Track	-7.254768	5.073128	395.889008	3109.877441	278.307098																				
TrackerOperationMode_Track	-7.254761	5.073128	395.887756	3109.869629	278.306274																				
TrackerOperationMode_Track	-7.254761	5.073128	395.890472	3109.889893	278.308167																				
