Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-2.388939	0.377373	223.942108	5367.868164	35.386307	1300.516235	900.54071	1457.912598	984.907593	1587.119995	1140.160278	1655.990479	1014.797668	-1.787069	-61.138962	0.790118	0.482932	0.0623	-0.873439	-0.012124	0.997846	0.06447	0.875574	-0.020545	0.482647
TrackerOperationMode_Track	-2.388771	0.377556	223.924103	5367.824219	35.402977	1300.503052	900.567017	1458.030762	984.928406	1587.15332	1140.370361	1656.167725	1014.880432	-1.774357	-61.13147	0.824403	0.483081	0.061811	-0.873391	-0.011533	0.997868	0.064241	0.8755	-0.020961	0.482764
TrackerOperationMode_Track	-2.388626	0.377609	223.912064	5367.853027	35.408409	1300.406738	900.598755	1457.965942	984.938904	1587.064575	1140.398804	1656.079834	1014.850159	-1.766159	-61.136539	0.831259	0.483009	0.061628	-0.873444	-0.01141	0.997878	0.064098	0.875541	-0.020994	0.482687
TrackerOperationMode_Track	-2.388771	0.377403	223.925964	5367.870117	35.389324	1300.503052	900.556458	1457.938599	984.882202	1587.05835	1140.234131	1655.862427	1014.769165	-1.769071	-61.131851	0.819457	0.483068	0.061772	-0.873401	-0.011616	0.997873	0.064151	0.875506	-0.020844	0.482758
TrackerOperationMode_Track	-2.388672	0.377487	223.915527	5367.825195	35.396889	1300.411865	900.421021	1457.752563	984.844421	1587.018066	1140.062256	1655.890503	1014.8302	-1.803714	-61.127323	0.77484	0.483097	0.062673	-0.873321	-0.012397	0.997824	0.06475	0.875479	-0.020454	0.482822
TrackerOperationMode_Track	-2.388313	0.377426	223.882385	5367.854492	35.391068	1300.430176	900.488586	1457.861328	984.848267	1587.09436	1140.216553	1655.975464	1014.962524	-1.802217	-61.121655	0.819	0.483231	0.062268	-0.873276	-0.011627	0.997836	0.064716	0.875416	-0.021119	0.482909
TrackerOperationMode_Track	-2.388756	0.377388	223.923248	5367.836914	35.38715	1300.445435	900.498108	1457.86853	984.906372	1587.027344	1140.154175	1655.946899	1014.792786	-1.774477	-61.134087	0.787009	0.483	0.062129	-0.873413	-0.01218	0.99786	0.064246	0.875535	-0.020393	0.482723
TrackerOperationMode_Track	-2.388779	0.37738	223.925537	5367.823242	35.386711	1300.499023	900.489746	1457.909546	984.88855	1587.061279	1140.211548	1655.977783	1014.800842	-1.780668	-61.126865	0.796341	0.483122	0.062142	-0.873345	-0.012021	0.997855	0.064351	0.87547	-0.02059	0.482833
TrackerOperationMode_Track	-2.38858	0.377296	223.906235	5367.808105	35.37896	1300.526367	900.474609	1458.020874	984.862793	1587.064575	1140.133057	1655.969238	1014.754822	-1.745583	-61.131054	0.810379	0.483066	0.061487	-0.873422	-0.011771	0.997897	0.06374	0.875505	-0.020509	0.482774
TrackerOperationMode_Track	-2.388832	0.377457	223.930481	5367.840332	35.393593	1300.411377	900.456726	1457.869629	984.871704	1587.071289	1140.133179	1655.928345	1014.802979	-1.772203	-61.132698	0.792654	0.483027	0.062047	-0.873404	-0.012084	0.997863	0.064206	0.875522	-0.020459	0.482745
