Op. Mode	AZ	EL	X	Y	Z	C1x	C1y	C2x	C2y	C3x	C3y	C4x	C4y	Pitch	Roll	Yaw	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]
TrackerOperationMode_Track	-3.117332	0.072159	298.19696	5475.376953	6.905925																				
TrackerOperationMode_Track	-3.117302	0.072083	298.19458	5475.387207	6.898688																				
TrackerOperationMode_Track	-3.117271	0.07209	298.192413	5475.400879	6.899609																				
TrackerOperationMode_Track	-3.117271	0.072083	298.192413	5475.400879	6.898517																				
TrackerOperationMode_Track	-3.117241	0.07209	298.187836	5475.371094	6.899117																				
TrackerOperationMode_Track	-3.11721	0.07206	298.185059	5475.374023	6.897003																				
TrackerOperationMode_Track	-3.11721	0.07209	298.184967	5475.37207	6.899684																				
TrackerOperationMode_Track	-3.11721	0.072128	298.187103	5475.410645	6.903567																				
TrackerOperationMode_Track	-3.11721	0.072166	298.185425	5475.379883	6.906405																				
TrackerOperationMode_Track	-3.117249	0.072189	298.187958	5475.364258	6.908896																				
TrackerOperationMode_Track	-3.117279	0.072212	298.191711	5475.36377	6.911008																				
TrackerOperationMode_Track	-3.117317	0.07225	298.195068	5475.374023	6.9146																				
TrackerOperationMode_Track	-3.117325	0.072205	298.196106	5475.378906	6.910714																				
TrackerOperationMode_Track	-3.11734	0.072189	298.197113	5475.363281	6.909153																				
TrackerOperationMode_Track	-3.117332	0.072235	298.198029	5475.405273	6.912874																				
TrackerOperationMode_Track	-3.11731	0.07222	298.194977	5475.380371	6.912135																				
TrackerOperationMode_Track	-3.117302	0.072189	298.193695	5475.370605	6.908687																				
TrackerOperationMode_Track	-3.117302	0.072159	298.195343	5475.400879	6.905637																				
TrackerOperationMode_Track	-3.117332	0.072151	298.197601	5475.388672	6.905046																				
TrackerOperationMode_Track	-3.117378	0.072182	298.201782	5475.388184	6.908199																				
TrackerOperationMode_Track	-3.117477	0.072151	298.212494	5475.401855	6.905486																				
TrackerOperationMode_Track	-3.117462	0.072235	298.210327	5475.39502	6.913433																				
TrackerOperationMode_Track	-3.117424	0.072212	298.207703	5475.412598	6.911321																				
TrackerOperationMode_Track	-3.117363	0.072189	298.200104	5475.380859	6.909004																				
TrackerOperationMode_Track	-3.117355	0.072227	298.199249	5475.376953	6.91219																				
TrackerOperationMode_Track	-3.117378	0.072166	298.201996	5475.385254	6.906916																				
TrackerOperationMode_Track	-3.117371	0.072166	298.202972	5475.415039	6.906473																				
TrackerOperationMode_Track	-3.117332	0.072212	298.199799	5475.428711	6.911443																				
TrackerOperationMode_Track	-3.117332	0.072189	298.197968	5475.395508	6.908776																				
TrackerOperationMode_Track	-3.117332	0.072189	298.197754	5475.391602	6.908457																				
TrackerOperationMode_Track	-3.117332	0.072197	298.19873	5475.410156	6.909822																				
TrackerOperationMode_Track	-3.117279	0.072205	298.19339	5475.398926	6.910663																				
TrackerOperationMode_Track	-3.117302	0.072189	298.195923	5475.402832	6.908397																				
TrackerOperationMode_Track	-3.117332	0.072174	298.198181	5475.399414	6.907195																				
TrackerOperationMode_Track	-3.117302	0.072189	298.19577	5475.408691	6.909054																				
TrackerOperationMode_Track	-3.11731	0.072189	298.195831	5475.389648	6.909454																				
TrackerOperationMode_Track	-3.117325	0.072197	298.196991	5475.391602	6.909662																				
TrackerOperationMode_Track	-3.117241	0.072197	298.189758	5475.399902	6.909801																				
TrackerOperationMode_Track	-3.117241	0.072113	298.189636	5475.403809	6.901558																				
TrackerOperationMode_Track	-3.117149	0.072174	298.180573	5475.397461	6.907373																				
TrackerOperationMode_Track	-3.11721	0.072212	298.185455	5475.380859	6.911305																				
TrackerOperationMode_Track	-3.11731	0.072212	298.195404	5475.39209	6.911103																				
TrackerOperationMode_Track	-3.117348	0.072197	298.199646	5475.387695	6.90968																				
TrackerOperationMode_Track	-3.117363	0.072235	298.199768	5475.368164	6.913388																				
TrackerOperationMode_Track	-3.117378	0.072235	298.202667	5475.398926	6.913104																				
TrackerOperationMode_Track	-3.117355	0.07225	298.201019	5475.402344	6.914806																				
TrackerOperationMode_Track	-3.117363	0.072197	298.200806	5475.395508	6.910048																				
TrackerOperationMode_Track	-3.117325	0.072258	298.197174	5475.400391	6.916018																				
TrackerOperationMode_Track	-3.117279	0.07225	298.192902	5475.384277	6.914297																				
TrackerOperationMode_Track	-3.117332	0.07225	298.197113	5475.379883	6.914752																				
